Comment,is_hate
যারাই হক্বের কথা বলবে তারাই শিবির🔥,1
লুঙ্গি স্পায় 😂😂,0
দাড়িপাল্লা ⚖️,0
ভাই আপনারে Dhurandar মুভিতে দরকার ছিলো,0
❤️❤️❤️❤️🔥🔥🔥🔥,0
🔥🔥,0
শিবির একদিনে গড়ে সংগঠন নয় এটি তিলে তিলে রক্ত ঘাম ঝরিয়ে গড়ে উঠা সংগঠন।,1
"নৌকা গেছে দিল্লিতে, ধানের শীষ লন্ডনে । দাঁড়ি পাল্লা দারিয়ে আছে মাতৃভূমির কল্যাণে।   তারুণ্যের প্রথম ভোট, দাঁড়িপাল্লার পক্ষে হোক  👌👍",0
অনেকটা হলিউড স্টাইল,0
❤️,0
Jokar,0
😅😅😂😂😂,0
জায়গা মতো দিয়েছে,0
"আবাল????সঠিক এবং সত্য কথা বললেই সে শিবির,গুপ্ত???? তাহলে ১৭বছর পর দেশে আসলো সে কি???????",1
Right,0
বাঘ সম সময় গুপ্ত হয়।  কুকুর সব সময়?,0
Online ki koren vaiya,0
👍👍👍👍,0
সেই ভাই,0
❤️🔥,0
মুভিতে ভিলেন হিসেবে ভালো মানাবে,0
মানুষ মাত্রই শিবির,1
সালমান সেরা রেহ,0
Pure villain look ashce,0
😂😂,0
সত্য কথা বললেই যদি শিবির হয়ে যায় তাহলে আমরা সবাই শিবির,1
😂😂😂,0
শিবির মাদকাসক্ত নাউটো সংগঠন নয় 😑,1
Voy paisi,0
Salman Mohammad Muqtadir  ভাই আপনাদের নিজস্ব ভাগ্যবান এত ভাল একটা দলের গুপ্ত শিবির আপনি চান্দাবাজ দলের কেউ তো না,1
Shei hoise😂😂,0
xoss,0
😁,0
ভাই আপনিও শিবির। তবে কি ২এ ২এ ৩হলো,1
ওকে,0
Shafat Hussain Dewan Muntasir Rahman Swapnil,0
জামাত,0
আমিও গুপ্ত শিবির 😁😁😁,1
Bro bar gular dayitte k ase akhon?,0
"আওয়ামীলীগ তো নাই, বিএনপি মনে হয় মোটা অংকের টাকা দিছে এই ভিডিও করার জন্য 😡😡😡😡",0
MD RuMel 😂,0
#JusticeForHadi,0
ভাই😂,0
একটা কথা ক্লিয়ার শিবির হকের দল!!! কারণ ফ্যাসিস্টের আতংকও ছিলো শিবির।,1
Why do you always look Cool brother?,0
Kois na bhaaiii kharaaa,0
হোয়াট ইজ শিবির!😁,1
আবাল,1
Tumee akhan ginish 🙂,0
ঠিক,0
"দুর্নীতি, চাঁদাবাজ, সন্ত্রাস ও ঋণ খেলাপি",0
😂😂😂😂,0
"জোস হয়েছে ভাই 😂😂😂 আপনি অভিনয়ের জন্য সেরা,,",0
😂💯,0
Bot bahini,0
😮😮😮,0
#গুপ্ত #খানকির #পোলা #শিবির 😂,1
Rogh kata 🌚,0
"আমরা কোনো দলের না,আমরা সাধারণ মানুষের কণ্ঠস্বর।অন্যায়ের বিরুদ্ধে প্রতিবাদী খবর পেতেসাথে থাকুন দৈনিক ধ্রুবতারা",0
"রাজাকার,বদর,আল-সামসের দিঁন শেঁষ,,,,!",1
🤣🤣,0
Marvels,0
😮😮😮😮😮,0
McQ??!!##,0
একটু মোটা হইছো ভাই,0
Video dekhe Mone hocche terrorist er moto acting kortache 😂😂.Don't mind gupto sibir🖖🏻,0
ভাই আমি শিওর একদিন আমি আর আপনি এক কারাগারে বসে আড্ডা দিবু 🤣,0
💥,0
right,0
যে উচিত কথা বলবে সেই মূলত শিবির।,1
Sindeed Arfan,0
Bnp dalal,0
Hahha,0
সেরা ভাই সেরা,0
🔥🔥🔥🔥🔥,0
Right Bro❤️‍🩹,0
You are Acting omg ❤️,0
১০.৪ মিলিয়ন ডান,0
শিবির করলে ভালো হয় তোমার জন্য 🔥,1
😂,0
Salman,0
😅,0
Absolutely perfect,0
পুরাই শিবির,1
Darun content 🤣🤣🤣,0
এইটা সেই সেই!,0
শিবির হওয়ার কপাল সবার হয়না ভাই।,1
I used think that you're also part of Meticulous Design (Gupto Shibir) but you're another level! 😂,0
🤣🤣🤣,0
Mollah Corporation 😜😜😜😁😁,0
🙂,0
আপনি আসলেই একটা jenious,0
Muvie te tare manave balo,0
.....,0
Rajakar er bij shibir,0
SH AG OR 🔥,0
উচিত কথা বললেই সে শিবির হয়ে যায়।,1
সেরা🔥,0
সাকিব ভাই আপনি আবার ক্রিকেটে বেক করেন দেশের মাটিতে,0
"রাজনীতি সোদাও। এত সুন্দর ক্রিকেট ক্যারিয়ার ছিল! নিজের পায়ে নিজে কুড়াল মারছো এজন্য আর দেশে আসতে পারো না, যেমন কর্ম তেমন ফল এখন ভোগ কর",0
ভাই আসেন।  আপনি যে দল করেননা কেনো সবাই আপনার পাশে আছে।,0
ইনশাআল্লাহ ধন্যবাদ Shakib Al Hasan ভাই জয় বাংলা জয় বঙ্গবন্ধু ⛵✊🏼🔥🔥,0
ইনশাআল্লাহ,0
আপনার অপেক্ষায় কোটি সাকিবিয়ান,0
💛🤍,0
Follow to Follow Follow to Follow,0
❤️❤️,0
ভাই আপনাকে অনেক মিস করছি ❞ কবে আসবেন দেশে?,0
আপনার অপেক্ষায় পুরো ১৮ কোটি মানুষ.... 🙏🥹,0
আপাকেও নিয়ে আসেন,0
আপনি একজন ক্রিকেটার তাহলে আপনার রাজনীতির ভিতরে জড়ানোর কি দরকার ছিল আপনি রাজনীতি ছাড়াও আপনার অনেক পরিচিতি আপনি হয়তো বুঝতে পারছেন তবে অনেক দেরি হয়ে গেছে,0
"যত গঠনমূল্য কমেন্ট আর ভিডিও, ততো বেশি এনগেজমেন্ট - আর এনগেজমেন্ট বাড়লে ফলোয়ার তো নিজের থেকেই আসবে ১০০% সত্য!",0
সাকিব বাই লাভ  ইউ,0
Shakib vii dakhen ki kora jai,0
❤️❤️❤️❤️,0
"এই পোস্টে যে যে হা*হা রিয়েক্ট দিয়েছে তারা সবাই, শালা*র পোত,,",0
Miss you boss 75,0
Dur halar hut hala,0
Rait,0
Apni astei hobe Bangladesh 🥲Joto valo player asuk na kn doleApnr  moto keu  nai Onk miss kori vai apnake,0
অলরাউন্ডার মনে হয় এই রকম ট্যালেন্ট হয় boss 75❤️.... পুরাই ঘ্যাড়তাড়া 🥰,0
😌❤️‍🩹,0
"ইনশাআল্লাহ,, আপনি দেশে আসবেন,,,শেষ টা জেন আপনার সুন্দর হয়,,😔🙂",0
ইনশাআল্লাহ❤️,0
লাগা জুয়া,0
ইনশাআল্লাহ 🥰🥰,0
"শালা পাল্টি খাওয়ার সুযোগ খুঁজতেছে,১০০%",0
আপনি ফিরবেন বীরের বেশেই ফিরবেন ইনশাআল্লাহ,0
ওর রাজনিতি করার একটাই ধান্দা ছিলো.. টাকা কামানো.. সে করবে মানুষের সেবা🤣,0
তোমার জন্য সারা জীবন দোয়া থাকবে রইবে তোমাকে দেশে আসতে যারা বাধা দিছে তাদের একদিন পতন ঘটবে ইনশাআল্লাহ বস তুমি অতি তাড়াতাড়ি লাল সবুজ জার্সিতে ফিরবে,0
🫡💪,0
"তোর জন্য লানত কুত্তার বাচ্চা, তোর কোন অধিকার নেই লাল সবুজের জার্সি গায়ে দেয়ার",1
Apni asen bqki gulo amra dekbo,0
দোয়া ও ভালোবাসা রইলো,0
আপনার ফেরার অপেক্ষায় বস,0
সাকিব  ভাই এই মুহূর্তে বাংলাদেশ টিম নিয়ে একটি পোস্ট করবেন আশা করি খুব খুশি হব ধন্যবাদ,0
Please come,0
Sha75,0
হাজারো শহিদের রক্তের দাম চুকিয়ে তাত পর দেশে আসার নাম নাও,0
দোয়া ও ভালোবাসা রইলো বস 💞💝,0
আবার জুলাই আগস্টে মানুষ মারতে রাজনীতি করতি?????,0
দোয়া ও ভালোবাসা রইলো,0
Suborno Azad Ananta 😁 sujug diva,0
আহো ভাতিজাবুইড়া বয়সে তুমিই খেলো নতুনরা *ল ছিড়ুক।তুমি শিউর এবার বিশ্বকাপ নিবা।,0
In Sha Allah ❤️❤️❤️❤️❤️❤️,0
রাজনীতির মাধ্যমে সবচেয়ে সহজে দেশের জন্য অনেক কিছু করা যায় কারন সংসদ এ আপনার একটা চেয়ার থাকলে আপনি দাবি নিয়ে একটা আবদার করতে পারবেন আর যদি সংসদ এ আপনার একটা চেয়ার না থাকে তাহলে এমনি আবদার করতে পারবেন তারপর যদি সরকার আপনার আবদার রাখে তো ভালো আর না রাখলে কিছু করার থাকবে না তাই দেশের মানুষের জন্য কিছু করতে হলে সংসদ এ আপনার একটা চেয়ার জরুরি,0
"লিজেন্ড আননে আইসা পড়েন দেশে কোন হেডা কি করবো দেইখা নিমুনি, আমরা যেগুন আপনার ভক্ত আছি হেগুনরে তো আননেরে লাগতো নো 🖤সাকিব 75 আননে ছাড়া বাংলাদেশের ক্রিকেট পূনতা পাইতো নো 😊",0
আহো চাতিজা 🫡,0
বাংলাদেশ সারা জীবন মনে রাখবে,0
A day well spent in Toronto👏🏻,0
Come back Caption,0
🥰,0
আপনাকে অনেক মিস করি ৭৫❤️❤️❤️🇧🇩,0
🥰🥰🥰,0
"Boss75,🫶❤️🌚",0
🌸 Paperra Art এ পাবেন handmade paper flower ও aesthetic wall décor এর সুন্দর collection ✨ঘরের দেয়ালকে আরও সুন্দর ও colorful করে তুলতেই আমাদের ছোট্ট আয়োজন 💖Custom order ও delivery available 📦পেজটি Follow দিয়ে পাশে থাকুন 🌷,0
"ইনশাআল্লাহ ভাই ☝️ দোয়া ও ভালোবাসা রইলো ভাই,,  জয় বাংলা জয় বঙ্গবন্ধু ✊",0
Hmm,0
willcam sakib Al hasan,0
রাইট,0
অপেক্ষা ভাই🫶,0
"সাকিব একদিন আসবে, হয় রাজনীতিবিদ হয়ে,নয়তো ক্রিকেটার হয়ে❤️",0
"সাকিব আবার দেশে আসবে, রাজার মতো ফিরবে.",0
King of Bangladesh,0
ভারতের দালাল খেলবে তাও আবার দেশের হয়ে 🤣🤣,1
ইন ভাইয়া,0
"Insha""allah",0
Insha allah,0
Hoga mara kha shala bokachoda bainchot,0
Best wishes to you 🖤Dady of all rounder in tha world,0
Waalaykumassalamwarahmatullahi wabarakatohu,0
Tor moto fasist awamileag ar kono dorkar nai bangladesh ar...awamileagar mane indian so tor moto indian amader desh ar hoye kelar dorkar nai.,0
"সমালোচনা থাকবে, বিতর্ক থাকবে… কিন্তু Shakib Al Hasan নামটা ইতিহাসে সোনার অক্ষরে লেখা থাকবে 🇧🇩শেষটা যেন হয় গর্বের, সম্মানের, আর একটা হাসির—এইটাই চাই ❤️",0
"তরে এদেশের মানুষ আর পুট*কি মারেনা,  তুই খুনি হাসিনার সাথে হাত মেলানো এক বেজন্মা",1
জয় বাংলা,0
I miss you boss,0
দেশদ্রোহী দেশকে আর কি দেবে?,0
"লাল সবুজের জার্সি পরে আপনাকে জেলে দেখতে চাই, ভাইয়া ❤ (2)",0
যি সত্য কথা বলেছেন,0
Insah allah,0
তুমি সান্ডার আর কোন প্রয়োজন নাই,0
"আপা আসুক, তখন আপনি আর আপা দুজনে মিলেই রাজনীতি আর ক্রিকেটের মাঠে নামবেন।",0
Aho vatija aho,0
ইনশাআল্লাহ ভাই আপনি ফিরবেন❤️👍,0
ভালোবাসা❤️‍🩹Shakib Al Hasan bhai amr🤍,0
🫡 boss,0
"আসসালামু আলাইকুম সাকিব ভাই, ভাই কেমন আছেন, আমি একজন ফাস্ট বলার, আমার বয়স ২২ চলে আমি কি এখন ক্রিকেট এ যুক্ত হতে  পারবো, আপনি যদি একটু হেল্প করতেন ❤️‍🩹",0
Bhai seriously 😹,0
Ok thik hai 🫣,0
Meanwhile salman vai always ready for the blast🔥,0
এই গানম্যান সেই গানম্যান নয়😁,0
"বন্দুক প্রোটেক্টেট হইলে,,,,,তো বন্দুক দিয়ে গুলি বের হবে না,,,,,,,,,,শিহরণ জাগানো উপদেষ্টা 😆",0
"গান ও তোমার কাছে আছে, ম্যান ও তোমার কাছে আছে শুধু প্রটেকশন নিলেই হবে।",0
Jisan Ahmed  bro do you have enough protected,0
Bullet proof  Salman Mohammad Muqtadir,0
"ভাই এইটা ভালো ছিল। ""শিহরন বিষয়ক উপদেষ্টা""",0
Milon Mahmud protect korte gele kun flavour lagiye rakte hobe😁,0
Bro need more promotion 's it’s about 14th February 👻,0
শিহরণ এ আস্থা শিহরণ এ ভরসা।।,0
Salman Mohammad Muqtadir vai ekhn serious😎🫡,0
Condom ki bulletproof?🥹,0
"Srs Sohanur Rahaman Bhaiya, SMM ke dekhle ken jani shudhu apner moto lage!!🤔",0
Brand ki bro????,0
শিহরণই আসল আনন্দ,0
ভাই আপনি নিজেই একটা গানম্যান🔥😊,0
Bondhuk er bullet power koto bhai?,0
পদ দেখে দাঁড়িয়ে গেল,0
পদবি দেখেই আমরা শিহরিত 🫡,0
"যাই হোক, ব্যাপারটা না বুঝলেও কিছুটা শিহরণ অনুভব করলাম।",0
সেরা ভাই সেরা😂,0
গানের বুলেট কোনটা বের হয়?,0
Amra to jani tumar gan onek lomba and big tumar ganmen lagbe nahh 😁,0
bro is always Roks.......,0
বন্দুকও প্রোটেক্টেড🙂,0
আর আমি উত্তেজিত 😌,0
আপনি তো আমারে টেনশনে ফালাইয়া দিলেন👀,0
Vai er Rocket o protected 🙂🙏🤝,0
পদ টা ভালোই হইছে সেরা উপদেষ্টা 🤣🫡,0
Rubber Bullet 🙂,0
শিহরণটা কি একটু বুঝিয়ে বলবেন??,0
সেই লেভেলের মার্কেটিং রে ভাই!,0
"Sensational Cond*m, Jaguk Sihoron🤣",0
রিয়েল হিরো🤔🔥🔥🔥,0
That bonduk was epic vhaia🤣🤣,0
ভাইয়ের পদবি দেখে আমি নিজেই শিহরিত🥴,0
Powerful words man 💥💥💥🔥🧍‍♂️ সালমান মুক্তাদির,0
আরো একবার গর্জে উঠুক শিহরণ,0
শিহরণ !,0
নিউস দেখে শিহরিত হয়ে গেলাম ভাই!😶,0
ভাই সেরাহ😂,0
Your protection is much better than a gunman😬,0
এই মুহূর্তে দরকার মুক্তাদিরের সরকার,0
Winter r summer nai always  protectives🤭,0
"Yes, tiger condom fully protected",0
Bruh is a tiktokerrr from 2007!💩,0
কথার জোরেই প্রোটেকশন যথেষ্ট 🔥,0
Salman Mohammad Muqtadirvaye j Ki jinish tumra janle finish🤣Love you bro🫡,0
o vaiii serraaa🤣,0
Ballistic missile protect Salman Mohammad Muqtadir 😁,0
Protected with rubber grip.,0
next level ভাই❣️,0
"অবশেষে Muqtadir ভাই আমার আশা পূরণ করলেন,জয় কংডমের জয়👄",0
বস পদবী টা ভাল্লাগছে🤣🤣,0
Kintu Vaiyee apni toh ekhane nijei Gunman? Protagonist-antagonist toh nijei. Double role. Duniya gol.,0
পদবীটা ভয়াবহ ছিল 🤔😅😆,0
rubber bullet?,0
আসল পুরুষের প্রোটোকল লাগে না!,0
"ভাই আপনার প্রোটেকশন লাগবে নাহ বরং আপনার থেকেই 👩‍🦳 প্রোটেকশন দরকার, U r our Imran Hasmi❤️‍🔥",0
Ek round a koita bullet?,0
ক্যাপশন!😅😂,0
আর আমি তো নিজেই গানম্যান,0
কি বিষয়য়ক উপদেষ্টা যেন? 😬,0
গান ম্যান এর দরকার নাই আমাদের মেশিনই যথেষ্ট 🫣😆,0
Protection er bepare Salman Mohammad Muqtadir vai always protected 👀,0
ভাই তো গর্জনেই শিহরণ 🫡,0
ভাই অলয়েজ প্রোটেক্টেড🤣,0
ন‍্যায় ও ইনসাফের প্রতীক দাঁড়ি পাল্লা।,0
Salman Mohammad Muqtadir bhaiya ❌                                                    boss✔️,0
Oil without boil,0
অবশ্যই মেশিনের নিরাপত্তা সবার আগে 🌚,0
Look at the date bhai🙌Genius.,0
Designation ta xoss chilo bro. Salman Mohammad Muqtadir,0
Rubber prof boy Salman Mohammad Muqtadir 🤣,0
শিহরণ জাগরণ 😂,0
আসল পুরুষ- হিরো🥴,0
"ভাই,তুমিও পারো বটে 🤣ক্যাপশন টা যোশ ছিলো! 🤣",0
নেতার কথায় যুক্তি আছে😅,0
You protected by SHIHORON🤣,0
ভাই সেরা😄😄,0
ভাই সেরা দিচেন,0
আপনার ইয়ার গানের কি ধরনের প্রোটেকশন ব্যবহার করেন  ভাই?,0
Savage salam vai 🤣🤣,0
Shehoron bishoy uppodeshta 😆😆😆 ai ta best. Salman Mohammad Muqtadir  bro you earned it 🫡,0
He use helmet every night,0
Ismail Nahid Bhai amader icon peye gesiiiii,0
Extra dot chocolate gun 😐,0
Vai mone hoy Tiger er protidhondhi☠️,0
Fire 🔥 On 🤘🏻😎,0
সেরা সেরা 😃,0
🙂 1+1=2 Vai marketing king 👑,0
আমরা এমনি বন্ধুক নিয়া ঘুরি..কেউ লাগতে আসলে ঘন্টার পর ঘন্টা শিহরণ যুদ্ধ চালিয়ে যেতে পারি।।,0
"When you don't have the ability to have a child on your own, which is why  brother is already protected. 🙂🙂",0
আপনার শিহরণ ছড়িয়ে যাক দেশজুড়ে 🙂,0
Using trends in marketing. I wonder about the hard work and efforts he kept behind his experience. Emnei shob hoye jay naBest wishes for u.,0
তার মানে সালমান ভাই নিচে সব সময় হেলমেট পরে থাকেন,0
ছেলেদের আলাদা গান লাগে নানিজেদের গানই যথেষ্ট,0
“যদি পারতাম ধরে রাখতাম” না মানে এমনিই বললাম 🙂(Cmnt ti vaiyader jonno),0
এটা কি,0
ষিহ এসব কি 🫣,0
জারজ,0
🔥🔥🔥ahare sonago amar,0
durex e shera 😒,0
Only u & mee👄,0
সঠিক মানুষ দিয়ে সঠিক এড 😂,0
Boss 😵‍💫🫶,0
ইশ Salman Mohammad Muqtadir 🙈😌,0
“যদি পারতাম ধরে রাখতাম” না মানে এমনিই বললাম 🙂(Cmnt ti vaiyader jonno)😀😀,0
সালমান এর জন্য বেস্ট ব্রান্ড কোলাবোরেশান 🔼🔼,0
হ ঠিক আছে এডা তোর দ্বারাই সম্ভব😂😂,0
মাথায় একটা হেলমেট থাকলে আরো ভালো হতো🤣,0
#NAME?,0
শেষে কনডম ক্রিয়েটর 😂😂,0
Video No....Ads Yes...! 😀 Salman Mohammad Muqtadir 😂,0
ভাইয়ে কনডম ব্যাবসা শুরু করছে🫠,0
obosese c**,0
কমেন্ট বক্সে দেখি সব মেয়েদের সমাহার 🙄,0
Vai k kintu valoi manay sob kichute... 💥👌,0
"Vai,,Apnare cream sape korle valo lage na",0
😜,0
এই সালায় তো নিজে চু** খাইবো দেখা যায়🤣🤣,0
এতো কি থাকতে এই কনডোম এর প্রোমোট করলেন 😂🤣,0
Aisob vlo nah🙈🙊,0
সালমান ভাইয়ের মার্কা ক*ন*ড*ম মার্কা,0
Pulak Ahmed Sha-won tor idol😅,0
WTF?,0
শেষ পর্যন্ত এই কাজ করতে হলো......? 🙂,0
Bangladesh e shob somvob😂,0
ব্রান্ডের চকলেট!😂,0
vai add sheshe apnare koyta diyeche ba niyechilen?,0
Bro 🤣😂,0
"Vai majhe majhe madr""""cod giri kore",0
😂😂😂😂😂😂😂😂,0
ki smile re baba 😂,0
Chhii..শেষ এ কমটম এর বিজ্ঞাপন এ,0
এটাই বাকি ছিলো 🙂,0
এ গোলা কি,0
ভাই আপনার হাসি থামাইছেন কিভাবে,0
ভাই টাকার এতোই অভাব হয়ে গেছে 🙂,0
তোমার অভদ্র মনে ভদ্রতা মানায় না বস 😁,0
Rafsan the ChotoBhai Jaya Ahsan Shammi Islam Nila apnara kisu bole jan😂,0
প্যাকেটটা যেনো কোথায় দেখেছি🤔মনে হয় ফার্মেসিতে🤭,0
idol,0
Salman x Sensation ❤️‍🔥,0
সেরা বিনদন😂😂,0
He fu**d that song,0
বদমাইশ ভাল হলি না,0
কন্ডোম ব্যবহার করেই একনো তুমি বাবা হতে পারোনাই সালমান 🫦,0
🍓,0
MD Mamun Neon Ahmed,0
Akib Hassan Khan Muhammad Shariar Rifat Asif Ahmed 🤣,0
Ami and amar gf. Ami engineering student and o medical student. Searching place to have some private space.,0
Ore Salman re 😂,0
Bad boy,0
Good boy 🙂,0
এটা দিয়ে কি ভাবিকে ডুকাও? মজা লাগে??🥶,0
Ki vai egula?,0
😂😂😂❤️🔥,0
TI Efti 🔥,0
Jibone eita ads o influence der theke dekha baki chilo🙂,0
Strawberry 🍓🍓🍌,0
সেই হইছে😂🔥,0
"eh, EH?!bhai, bad boy hoye gelen naki abar?",0
Use of umbrella is a great idea.,0
দারুন সুভাস 😂,0
পেত্নী আর কিছু পাইলি না।,0
এটা পরিয়ে দেখালে ভাল হতো আজাইরা,0
সিটি নির্বাচনে সালমানের কলা মার্কায় ভোট দিন🙄🙊,0
Bahhhh🙂,0
Vai tore ei ad ta tey joss manai trust me ( cz u r a romantic boy),0
Vhai apnr bow kisu bole nah etaw ki promotion?,0
Imam Hasan Asif,0
sobai ei product ta use koiren nahole video er ei tar moto ekta chele pouda hoye jaite pare,0
ছাতার সাথে মাথায় একটা হেলমেট পড়ে নিলে বেস্ট হতো ভাই🤐,0
ফালতু,0
"Vai eita ki ad chilo na, apnaer cinematic video shut😂",0
ধনে পইড়া ট্রায়াল দিয়া দেখাইতা ব্র,0
Salary vhalo oibo na😂😂,0
খাটাস একটা,0
ata ki type ad 🤔🤔,0
বাহ চুদির ভাই বাহ,0
patha!,0
🙂🙂🙂,0
Kharap manush ke diye to khrp add korabe aitai normal👀👍,0
"এটা কিনলে কি, সাথে ছাতা ফ্রি নাকি 🤣🤣",0
Who is ur tg?Rural mass people?,0
brother use korso je feedback ￼ta daw,0
Tmr bou ase jantami na,0
এটা কী 🙂,0
Con**m marka😂,0
সালমান ভাই এর সাথে এটাই যায় 😆😆😆😆,0
😂🤣😂,0
আমিন,0
আচ্ছা বাংলাদেশ তরুণ রা রাজনৈতি আসা উছিত হবে এদের জীবনি পড়ে রাজনৈতি করার খুব ইচ্ছে তৈরি হচ্ছে,0
একজন খুনি কেমনে জান্নাত পায়,0
বিনম্র শ্রদ্ধা।,0
বিনম্র শ্রদ্ধা..!!🖤🏴,0
বিনম্র শ্রদ্ধা,0
আমিন🛰️🌹🇧🇩🌹🛰️,0
"‌বিনম্র শ্রদ্ধা, জয় বাংলা জয় বঙ্গবন্ধু",0
নির্বাচনি,0
খুনি,1
বিনম্র শ্রদ্ধা জ্ঞাপন করছি।,0
জারোজ,1
তুই জীবনে দেশে আসতে পারবী না,0
খানকি পোলা,1
🥲,0
🇮🇳🇮🇳🇮🇳🇮🇳,0
খবিস,0
🥰🥰,0
"কমেন্ট মানেই শুধু কিছু শব্দ নয়,এটা হৃদয় ছুঁয়ে সম্পর্ক গড়ার এক সুন্দর সেতু।ভালো কথার মধ্যেই লুকিয়ে থাকে শক্তিশালী এনগেজমেন্টের শুরু। ✨💬🌿✅💯",0
তোমাদের মধ্যে কেউ যদি নিজের কল্পনা ও বাস্তবতা দেখে সুন্দর কিছু লিখে প্রকাশ করতে চাও তাইলে আমাদের ক্যাপশন গুরুপে ঢুকতে পারো,0
বাল যোদ্ধা তোফায়েল আহমেদের মৃত্যুতে একটা হয়ে যাক স্যাড সং 😁,1
সে একজন হত্যাকারী,0
Amin,0
ইন্নালিল্লাহি ওয়া ইন্না ইলাইহি রাজিউন,0
যে মানুষগুলোর লাল সবুজের পতাকা পাইছে বাংলাদেশ তাদের সকলের জন্য দোয়া রইল আল্লাহ যাতে জান্নাত নসিব করে 🤲🤲,0
আমিন🤲,0
Love you boss 💐💐,0
khuni,0
💖💖,0
Joy bangla,0
দোসর,0
মাশরাফি হুইপ,0
👍,0
যতো কমেন্ট ততো এনগেজমেন্ট- আর এনগেজমেন্ট বাড়লে ফলোয়ার এমনিতেই আসবে✅,0
"ক্রিকেট তো উসিলা, আসল উদ্দেশ্য তো ক্ষমতা আর কোদাল দিয়ে টাকা খোঁড়া! 💰🏏এতদিন যারা দেশপ্রেমের গল্প খুঁজতেন, তারা এবার চোখ খোলেন। রাজনীতি, দালালি আর স্ক্রিপ্টেড ড্রামা—সব এক ফ্রেমে! দেশের জার্সি গায়ে দিয়ে যারা শুধু ব্যাংক ব্যালেন্সের হিসাব বোঝে, তাদের আসল রূপটা কেমন? 😉",1
কিরে আচুদা জুয়াড়ি তোর দুই বাপেরে দেইখ্যা তো গে মনে হইতাছে।তোর বাপ ২ডারে দেইখ্যা মনে হইতেছে একটা আরেকটারে চুম্মাইব এখন।,0
২ বাপের অবৈধ সন্তান জুয়াড়ি বাইঞ্চোদ সাকি বাল।,1
মুজিব সৈনিক কখনো মরে না অমর হয়ে থাকেন হয়তো কারো হৃদয়ে।,0
"শুভ সন্ধ্যা। বাংলাদেশে একটি নতুন ওয়েবসাইট চালু হচ্ছে। যারা অ্যাফিলিয়েট মার্কেটিংয়ে আগ্রহী, তারা ইনবক্সে যোগাযোগ করুন।",0
জয় বাংলা জয় বঙ্গবল্টু,0
মাঠে একদিন এর বদলা হবে,0
আমিন।,0
"Shakib Al Hasan ক্রিকেটার নাইম হাসান কে পুলিশ এভাবে হেনস্থা করল, এতে আপনার একটা প্রতিবাদমূলক পোস্ট আশা করছি।",0
গু*য়া মারা গেছে,0
বিনম্র শ্রদ্ধা 🖤,0
"দেখতে নমরুদের মতো,",0
🖕🖕,0
জয় হোক সাকিব ভাইয়ের জয় বাংলা জয় বঙ্গবন্ধু জয় হোক বাংলাদেশ আওয়ামী লীগের,0
🫂🫂🇦🇷🫂🇦🇷,0
মরে গেল জঙ্গি সুকুন,1
❤️❤️❤️,0
